# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
65000,8.5,0.949,9.727,-5.281,4.446,9.655
70000,8.5,0.952,9.674,-5.554,4.12,9.601
3250,9,1.186,19.619,-1.155,18.464,18.884
3500,9,1.186,19.057,-0.914,18.142,18.431
3750,9,1.186,18.558,-0.716,17.843,18.025
4000,9,1.186,18.122,-0.559,17.562,17.663
4250,9,1.186,17.721,-0.422,17.299,17.333
4500,9,1.186,17.378,-0.327,17.051,17.041
4750,9,1.186,17.069,-0.253,16.816,16.774
5000,9,1.186,16.791,-0.198,16.593,16.53
5250,9,1.186,16.537,-0.155,16.381,16.306
5500,9,1.186,16.305,-0.126,16.179,16.1
5750,9,1.186,16.095,-0.109,15.986,15.911
6000,9,1.186,15.901,-0.1,15.801,15.735
6250,9,1.186,15.722,-0.098,15.624,15.571
6500,9,1.186,15.556,-0.102,15.453,15.417
6750,9,1.186,15.401,-0.112,15.289,15.274
7000,9,1.186,15.257,-0.126,15.131,15.14
7500,9,1.186,14.995,-0.163,14.832,14.892
8000,9,1.187,14.761,-0.21,14.551,14.671
8500,9,1.187,14.569,-0.281,14.288,14.486
9000,9,1.187,14.377,-0.338,14.04,14.301
9500,9,1.187,14.204,-0.399,13.805,14.134
10000,9,1.187,14.049,-0.467,13.582,13.983
11000,9,1.187,13.783,-0.615,13.168,13.722
12000,9,1.188,13.564,-0.774,12.79,13.507
13000,9,1.188,13.375,-0.934,12.442,13.322
14000,9,1.188,13.207,-1.088,12.12,13.157
15000,9,1.188,13.053,-1.233,11.82,13.006
16000,9,1.189,12.908,-1.369,11.539,12.865
17000,9,1.189,12.77,-1.494,11.276,12.731
18000,9,1.189,12.639,-1.612,11.027,12.605
19000,9,1.189,12.52,-1.728,10.792,12.49
20000,9,1.19,12.416,-1.847,10.569,12.388
21000,9,1.19,12.326,-1.969,10.357,12.3
22000,9,1.19,12.249,-2.094,10.155,12.223
23000,9,1.19,12.183,-2.222,9.961,12.158
24000,9,1.191,12.13,-2.353,9.776,12.104
25000,9,1.191,12.089,-2.491,9.599,12.064
26000,9,1.191,12.062,-2.634,9.428,12.036
27000,9,1.191,12.04,-2.775,9.264,12.013
28000,9,1.192,12.014,-2.908,9.106,11.988
29000,9,1.192,11.985,-3.032,8.953,11.959
30000,9,1.192,11.952,-3.146,8.806,11.925
31000,9,1.194,11.913,-3.252,8.662,11.887
32000,9,1.195,11.873,-3.35,8.523,11.847
33000,9,1.195,11.831,-3.442,8.389,11.804
34000,9,1.196,11.787,-3.528,8.259,11.758
35000,9,1.196,11.743,-3.61,8.133,11.712
36000,9,1.197,11.699,-3.689,8.01,11.667
37000,9,1.197,11.654,-3.764,7.89,11.62
38000,9,1.198,11.611,-3.836,7.774,11.575
39000,9,1.198,11.567,-3.906,7.661,11.53
40000,9,1.199,11.524,-3.973,7.551,11.486
42500,9,1.2,11.404,-4.117,7.286,11.36
45000,9,1.201,11.297,-4.26,7.037,11.251
47500,9,1.202,11.172,-4.37,6.802,11.123
50000,9,1.202,10.991,-4.413,6.578,10.936
52500,9,1.203,10.856,-4.49,6.366,10.791
55000,9,1.204,10.796,-4.634,6.162,10.728
57500,9,1.206,10.758,-4.79,5.968,10.689
60000,9,1.208,10.729,-4.948,5.782,10.659
65000,9,1.21,10.68,-5.248,5.432,10.608
70000,9,1.212,10.634,-5.525,5.109,10.56
